npa,nxx,phone_number,company,address1,city,state,postal_code,market,email,vendor_lead_code
305,210,3052101010,Century Roofing Specialists (Hollywood),1200 N Federal Hwy,Hollywood,FL,33020,HOLLYWOOD,,RR-314
305,224,3052248270,Dennis Roofing,,Miami,FL,33101,MIAMI,,RR-241
305,225,3052251535,Extreme Roofing,2910 SW 109th Ave,Miami,FL,33165,MIAMI,,RR-252
305,255,3052554004,Aztec Roofing,12950 SW 189th St,Miami,FL,33177,MIAMI,,RR-253
305,301,3053011621,Armandos Roofing Inc,,Miami,FL,33157,MIAMI,,RR-244
305,305,3053059195,Ram Roofing,5712 NE 4th Ave,Miami,FL,33137,MIAMI,,RR-248
305,432,3054329789,Full Cover Roofing,13290 SW 88th Ln,Miami,FL,33186,MIAMI,,RR-257
305,454,3054542644,L Cortes Construction Services,18786 NW 79th Way,Hialeah,FL,33015,MIAMI/HIALEAH,,RR-240
305,634,3056348144,Arpaico Inc,3078 NW 13th St,Miami,FL,33125,MIAMI,,RR-260
305,642,3056427663,Perkins Roofing Miami,575 NW 152nd St,Miami,FL,33169,MIAMI,,RR-246
305,661,3056615454,Manuel Joya Roofing,7054 SW 44th St,Miami,FL,33155,MIAMI,,RR-251
305,666,3056662323,Victoria Roofing,4220 SW 71st Ave,Miami,FL,33155,MIAMI,,RR-250
305,672,3056723749,Diversified Roofing,170 NW 68th St,Miami,FL,33150,MIAMI,,RR-249
305,676,3056764127,Keys Roofing Inc,101761 Overseas Hwy,Key Largo,FL,33037,MIAMI/KEYS,,RR-239
305,696,3056966767,RN Palmer Roofing,17055 SW 190th St Ste 66,Miami,FL,33157,MIAMI,,RR-259
305,757,3057572612,Obenour Roofing Sheet Metal & Supply Co,9822 NE 2nd Ave Ste 9,Miami Shores,FL,33138,MIAMI,,RR-242
305,895,3058959237,Perfect Roofing and Services Inc,284 NE 116th St,Miami,FL,33161,MIAMI,,RR-256
305,902,3059022302,William Seay Fair Roofing,2020 Taylor St Apt 2C,Hollywood,FL,33020,HOLLYWOOD,,RR-311
305,908,3059084512,Blue Steel Construction,106 S Federal Hwy,Fort Lauderdale,FL,33301,FT LAUDERDALE,,RR-277
305,969,3059692020,Florida Roofing,13910 SW 102nd Ave,Miami,FL,33176,MIAMI,,RR-247
305,992,3059924790,Florida Roofing And Coating LLC,,Hollywood,FL,33020,HOLLYWOOD,,RR-312
321,217,3212176303,Empire Roofing Inc (Apopka),319 W Orange Blossom Trl,Apopka,FL,32712,APOPKA,,RR-171
321,217,3212177463,H2Ow Roofing,1701 Sunfish St,Saint Cloud,FL,34771,ST CLOUD,,RR-218
321,229,3212297742,Atalski Roofing,111 Olympus Dr,Ocoee,FL,34761,OCOEE,,RR-182
321,233,3212336832,Roof Techs of Florida,100 Dresdan Ct,Sanford,FL,32771,SANFORD,,RR-152
321,236,3212364184,R West Roofing (line 2),,Orlando,FL,32859,Serving area,,RR-042
321,244,3212444699,Rapid Roofing Services,1802 W Broadway St,Oviedo,FL,32765,OVIEDO,,RR-234
321,262,3212620584,Ray's Roofing,250 International Pkwy,Lake Mary,FL,32746,LAKE MARY,,RR-199
321,295,3212957404,Tag Restoration Services,1350 Orange Ave,Winter Park,FL,32789,WINTER PARK,,RR-073
321,299,3212993591,Top Notch Roofing Inc,2888 W Lake Mary Blvd,Lake Mary,FL,32746,LAKE MARY,,RR-187
321,316,3213163940,Winter Park Roof Installed & Repair,2617 W Fairbanks Ave,Winter Park,FL,32789,WINTER PARK,,RR-080
