phone_number,company_name,title,address1,city,state,postal_code,vendor_lead_code,source,caller_id_pool,priority,comments
9544668751,Windsor at Miramar,Apartment community,,Miramar,FL,33027,WindsoratMiramar,windsorcommunities.com,954/754,P1,"[BROWARD 954/754] Windsor Communities mgmt; resort community, high unit count"
9549086257,Marela Apartments,Apartment community,,Pembroke Pines,FL,33028,MarelaApartments,marelaaptspembrokepines.com,954/754,P1,[BROWARD 954/754] Willow Bridge mgmt; confirm operating
9547151127,The Lakes at Pembroke,Apartment community,,Pembroke Pines,FL,33024,TheLakesatPembroke,thelakespembrokepinesfl.com,954/754,P1,[BROWARD 954/754] Luxury community
9546208204,Pembroke Cove (Scully Company),Apartment community,,Pembroke Pines,FL,33028,PembrokeCoveScullyCo,scullycompany.com,954/754,P1,[BROWARD 954/754] Scully Company multi-property operator
9543426721,Epic Residences,Apartment community,,Miramar,FL,33025,EpicResidences,epicresidencesmiramar.com,954/754,P1,[BROWARD 954/754] Upscale residences + hotel
8448155321,Castle Group,Condo/HOA mgmt,,Broward,FL,,CastleGroup,castlegroup.com,954/754,P1,[BROWARD 954/754] Major Broward condo/HOA manager
8009326636,Sentry Management,Condo/HOA mgmt,,Broward,FL,,SentryManagement,sentrymgt.com,954/754,P2,[BROWARD 954/754] AMO; HOA & condo (national line)
9545975977,TrueNest Property Management,Property management,,Miramar,FL,,TrueNestPropertyMana,truenestpm.com,954/754,P2,[BROWARD 954/754] SF + small multifamily
9543625235,Real Property Mgmt Premier,Property management,,Miramar/Pembroke Pines,FL,,RealPropertyMgmtPrem,rpmpremierfl.com,954/754,P2,[BROWARD 954/754] Serves both severe-tier cities
9547524800,Florida Property Mgmt & Sales,Property management,,Miramar,FL,,FloridaPropertyMgmtS,floridapropertyrealty.com,954/754,P2,[BROWARD 954/754] Tenant placement + maintenance
9542398152,Miramar Property Management,Property management,,Miramar,FL,33025,MiramarPropertyManag,Yelp,954/754,P2,[BROWARD 954/754] Local office on Miramar Pkwy
9543685398,PMI Best Assets (Davie),Property management,,Miramar/Pembroke Pines,FL,,PMIBestAssetsDavie,daviepropertymanagementinc.com,954/754,P2,"[BROWARD 954/754] SF, duplex, small apt buildings"
9544386570,Pines Property Management,Property management,,Pembroke Pines,FL,33332,PinesPropertyManagem,pinespropertymanagement.com,954/754,P2,[BROWARD 954/754] Weston-adjacent 33332
9542783200,All County Professional,Property management,,Pembroke Pines/Hollywood,FL,33024,AllCountyProfessiona,allcountyprop.com,954/754,P2,[BROWARD 954/754] Covers Pembroke Pines
7544002025,The Nice Property Management,Property management,,Pembroke Pines,FL,,TheNicePropertyManag,thenicepropertymanagement.com,954/754,P2,[BROWARD 954/754] Local 754 number
9542043266,PMI Prime View,Property management,,Pembroke Pines,FL,,PMIPrimeView,fortlauderdalepropertymanagementinc.com,954/754,P2,[BROWARD 954/754] Pembroke Pines coverage
3054541540,The Palma (Downtown Doral),Apartment community,,Doral,FL,33172,ThePalmaDowntownDora,thepalmadoral.com,305/786,P1,[DORAL-HIALEAH 305/786] Large downtown Doral community
3055079696,Doral View,Apartment community,,Doral,FL,33178,DoralView,Apartments.com,305/786,P1,[DORAL-HIALEAH 305/786] Multifamily community
3055992122,Valencia at Doral,Apartment community,,Doral,FL,33178,ValenciaatDoral,valenciaatdoral.com,305/786,P1,[DORAL-HIALEAH 305/786] Large community
3053925800,5350 Park (Doral),Apartment community,,Doral,FL,33178,5350ParkDoral,Apartments.com,305/786,P1,[DORAL-HIALEAH 305/786] Luxury community
7868705970,Flamingo Village / Hialeah Acres,Apartment community,,Hialeah,FL,33010,FlamingoVillageHiale,Homes.com,305/786,P1,[DORAL-HIALEAH 305/786] Open 7 days; leasing office
3058889744,Hialeah Housing Authority,Public housing,,Hialeah,FL,33010,HialeahHousingAuthor,hialeahhousing.org,305/786,P1,[DORAL-HIALEAH 305/786] Large portfolio; public entity (procurement rules)
3055918715,Doral Management Company,Property/HOA-condo mgmt,,Doral,FL,33172,DoralManagementCompa,doralmanagement.com,305/786,P2,[DORAL-HIALEAH 305/786] HOA/condo mgmt in Doral
7863910087,New Horizons Property Mgmt Solutions,Property/HOA-condo mgmt,,Doral/Miami Lakes,FL,,NewHorizonsPropertyM,newhorizonspropertymgmtsol.com,305/786,P2,"[DORAL-HIALEAH 305/786] Covers Doral, Miami Lakes, Hallandale"
3058192361,Neighborhood Property Management,Property/HOA-condo mgmt,,Hialeah,FL,33016,NeighborhoodProperty,Yelp,305/786,P2,"[DORAL-HIALEAH 305/786] HOA & condo mgmt, Hialeah"
3059301160,JMK Property Management,Property management,,Doral/Miami Beach,FL,,JMKPropertyManagemen,jmkpropertymanagement.com,305/786,P2,[DORAL-HIALEAH 305/786] Serves Doral; HQ Miami Beach
9549980600,SERVPRO of Pembroke Pines / W Miramar,Restoration franchise,,Pembroke Pines/Miramar,FL,,SERVPROofPembrokePin,servpro.com,954/754,A,[RESTORATION PARTNERS] IICRC; overflow/subcontract partner
9546347674,IgniteNest,Fire/smoke restoration,,Pembroke Pines/Miramar/Weston,FL,,IgniteNest,theignitenest.shop,954/754,A,[RESTORATION PARTNERS] Fire+smoke focus - strong fit
